,Var_Name,IV
0,Unit price,2.2771941512261287
1,Quantity,0.6586253048174139
2,Total,0.20719310023127246
3,gross income,0.20719310023127246
4,Hour,0.587551145551259
5,cogs,0.20719310023127246
6,Tax 5%,0.20719310023127246
7,Rating,1.2490510281248177
8,City Branch_Mandalay B,0.04016031126534157
9,City Branch_Naypyitaw C,0.04016031126534157
10,City Branch_Yangon A,0.04016031126534157
11,Gender_Female,0.04016031126534157
12,Gender_Male,0.04016031126534157
13,Product line_Electronic accessories,0.04016031126534157
14,Product line_Fashion accessories,0.04016031126534157
15,Product line_Food and beverages,0.04016031126534157
16,Product line_Health and beauty,0.04016031126534157
17,Product line_Home and lifestyle,0.04016031126534157
18,Product line_Sports and travel,0.04016031126534157
19,Payment_Cash,0.04016031126534157
20,Payment_Credit card,0.04016031126534157
21,Payment_Ewallet,0.04016031126534157
22,Month_February,0.04016031126534157
23,Month_January,0.04016031126534157
24,Month_March,0.04016031126534157
25,dist_cluster_1,0.0
26,dist_cluster_2,0.0
27,Num ID,0.38504602337805666
